feature,class
"[-1.7261417e+02  1.0632176e+02  6.6898913e+00  1.8628939e+01
  1.6257986e+00  5.3774643e+00  4.3347351e-02 -1.9901249e+00
 -9.3342295e+00  3.8740156e+00 -8.3680286e+00  2.9990804e+00
 -4.5328813e+00 -3.2726846e+00 -4.4107976e+00  2.5318997e+00
 -6.8650517e+00  2.1875598e+00 -3.3434854e+00 -5.1324707e-01
 -6.4838018e+00  2.4778812e+00 -3.5456557e+00 -8.1418598e-01
 -3.2818341e+00 -2.5030515e+00 -4.6157813e+00 -2.3208776e+00
 -3.5481207e+00  1.0781515e+00 -3.6775169e+00  1.5663061e+00
 -2.9781168e+00 -2.1767550e+00 -2.2669432e+00 -9.5440668e-01
 -4.2058902e+00 -4.1115305e-01 -3.1767647e+00 -4.3894249e-01]",Blender
"[-22.063065    42.545998   -49.98096    -13.137088   -16.249773
   6.4734707   -6.1523232    2.029518    -7.0734267    8.455388
 -10.915592     1.6447176   -0.3740199    9.46564     -2.013594
   0.12337131   4.7200437    2.3335228   -1.3646182    7.648369
  -1.7401695    4.2811584   -1.127621     4.693764    -1.8456763
   2.1952398   -1.0757419    1.9634022   -0.15645082   0.21911901
   0.05211344   1.5870236   -0.46339503  -0.18237701  -0.60862154
   2.3437188   -3.1071658   -0.7759385   -1.5308115    4.332942  ]",Blender
"[-1.24665207e+02  5.23933182e+01 -3.13058090e+01 -4.55936718e+00
 -2.20756817e+01 -8.67725182e+00 -1.50206585e+01 -1.42489414e+01
 -9.17818737e+00 -1.01362629e+01 -2.57086487e+01 -9.32407284e+00
 -1.64145374e+01 -1.07074356e+00  4.57629152e-02 -8.49072099e-01
 -7.55236149e-01  7.77668095e+00 -6.24877810e-01  5.04854822e+00
  1.02088630e+00  1.34643245e+00  2.09660125e+00  3.21907449e+00
 -3.22028971e+00  3.58798599e+00 -5.99587679e+00  1.80097854e+00
  3.52663010e-01  3.54235697e+00 -1.77919958e-02  7.62465239e+00
 -5.41396618e-01  5.07476234e+00 -1.01045959e-01  2.91898322e+00
  1.50366807e+00  4.67554003e-01 -1.12259877e+00  1.50124526e+00]",Blender
"[-2.5958362e+02  1.4013626e+02 -1.3974447e+01  1.5152022e+01
 -2.6171172e+00 -3.2737219e+00 -1.3556634e+01 -9.8890333e+00
 -3.1787813e+00 -3.5829823e+00 -7.5208020e+00  2.0019992e-01
 -9.6796579e+00 -4.3647723e+00 -7.1574516e+00 -1.7486844e+00
 -7.6598024e+00 -2.7174013e+00 -4.8896461e+00 -2.2928085e+00
 -6.8686571e+00 -2.4888589e+00 -4.7987490e+00 -1.2363409e+00
 -3.7741501e+00 -9.7345173e-01 -1.8753767e+00 -1.0375266e+00
 -3.8291745e+00 -9.3403810e-01 -3.2171100e-01  3.4980664e+00
 -2.5252740e+00  1.7763113e+00 -5.4793462e-02  7.9363132e-01
 -6.7453295e-01  2.8835855e+00 -1.3237568e+00  1.2701482e+00]",Blender
"[-113.35345      71.14356     -39.166145      2.1111078    -8.79174
    2.446614    -23.411316    -11.122528    -17.125145     -8.014544
  -20.920393    -11.71174     -14.06048      -4.4478154    -5.22406
   -2.2594285    -8.154937     -1.7295755    -2.7417383     1.1065063
   -3.3689125     0.75867635   -4.4676733     0.96521604   -4.542689
    0.24050458   -1.2485344     1.3881329     0.21697092   -1.5617564
   -3.0133252     1.1212128    -0.2680756     1.181255     -3.3538356
   -1.4610525    -2.245101     -1.6359705    -2.4250274    -0.49136856]",Blender
"[-62.746693    57.416973   -10.910252   -16.786251   -32.280205
  -1.0367645  -18.525066   -36.03021     -6.5062265   10.221841
 -34.09453     -6.8941455   -0.42481884 -18.292976   -14.79195
   0.8361427  -11.73515     -9.803568    -7.417143    14.083896
 -12.629935     1.4977356    6.7232127    0.4356125   -6.3743286
   9.602173     1.8002855   -0.89976174  -4.58003      7.026469
  -8.29623     -2.2645228    0.39304724   2.8056104   -3.893391
   4.096668     4.2694554   -0.45667678  -1.0277239    9.541388  ]",Blender
"[-3.2878781e+02  9.9320587e+01  8.2800312e+00  3.2418141e+00
 -9.0143356e+00 -1.7954458e+00 -1.6032038e+01 -3.8004875e+00
 -1.2573928e+01 -8.1391497e+00 -1.5322477e+01 -9.1928654e+00
 -6.4399734e+00 -2.0346441e+00 -4.9559999e+00 -2.7813327e+00
 -6.7620749e+00 -3.7199681e+00 -7.2648897e+00  2.7418327e+00
 -2.0887179e+00  2.0631406e+00 -8.7679023e-01 -4.8030964e-01
 -3.1919861e+00 -2.6260974e+00 -3.5134516e+00 -1.4670126e+00
 -1.6623876e+00 -1.8001980e-01 -4.2009530e+00 -1.0232376e+00
 -1.9385216e+00  1.1738257e-01 -1.7495695e+00 -6.3475496e-01
 -4.0906210e+00 -2.0518529e+00 -4.1695266e+00 -6.8455523e-01]",Blender
"[-1.6879619e+02  8.4732109e+01 -2.3234665e+01  2.5493603e+01
 -9.4954510e+00  2.1894133e+00 -6.3840642e+00 -4.3994899e+00
 -9.3516216e+00  4.3653798e+00 -3.9319844e+00 -1.9076404e-01
 -8.6945505e+00  1.1046891e+00 -5.8057842e+00 -4.9936581e+00
 -5.4858170e+00  8.5564777e-02 -6.8068070e+00 -1.7236454e+00
 -4.2863989e+00 -2.4630811e+00 -6.6304021e+00 -3.3848624e+00
 -7.0863647e+00 -5.7507377e+00 -5.1773233e+00 -1.3970947e+00
 -2.7188153e+00  1.2391050e-01 -4.9116354e+00 -1.8532851e+00
 -3.9159510e+00  1.0944780e+00 -9.9477857e-01  3.2725534e+00
 -5.2283812e-01  5.5961126e-01 -3.5609806e+00 -1.0761966e+00]",Blender
"[-1.71756058e+02  1.04704575e+02  1.22247496e+01  2.77374344e+01
  6.14835930e+00  1.66323776e+01 -3.72473240e+00 -1.55462241e+00
 -8.67755508e+00  5.62658834e+00 -5.28712559e+00  2.26904941e+00
 -4.10469007e+00 -2.33142662e+00 -5.36532462e-01  1.55075014e+00
 -3.75280857e+00  1.82546830e+00 -2.38923693e+00  1.08944559e+00
 -5.13307285e+00  2.12273884e+00 -2.90525174e+00 -7.96510950e-02
 -1.44477665e+00 -3.30721408e-01 -4.07900047e+00 -5.30277848e-01
 -2.93443823e+00  4.73862231e-01 -3.86668730e+00  2.16753387e+00
 -2.10504389e+00 -1.30759791e-01 -5.35167456e+00 -1.99248540e+00
 -5.34000683e+00 -1.82581306e+00 -3.90031719e+00  3.14054728e-01]",Blender
"[-1.5936572e+02  8.6353828e+01 -3.0572430e+01  9.3580180e-01
 -4.0392323e+00 -6.4176426e+00 -3.2560785e+00 -8.5187292e+00
 -1.3702987e+01 -4.4084268e+00 -2.1184935e+01 -7.2301006e+00
 -7.4937215e+00 -8.2336159e+00 -4.8057523e+00 -4.4382684e-02
 -2.6739924e+00 -2.0345896e-01 -6.0546999e+00  7.0291740e-01
 -2.3119593e+00 -1.3869082e+00 -5.7241764e+00  5.5293053e-01
 -1.9449854e+00 -4.3841851e-01 -1.2317232e+00  5.0552386e-01
 -5.1403445e-01  5.5443592e+00 -9.3039697e-01  3.2267239e+00
 -2.2001789e+00  1.6507339e+00 -1.9495610e+00  1.9507180e+00
 -2.6138263e+00  4.8783654e-01 -2.1570489e+00 -1.7705397e-01]",Blender
